ConstituentID,ObjectID,Maker,DisplayName,DisplayDate,DisplayOrder,Role,Prefix,Suffix,AlphaSort,Displayed,LastName,FirstName,NameTitle,allartists,objectnumber
195,824,"Bacon, Peggy",Peggy Bacon,"born Ridgefield, CT 1895-died Kennebunk, ME 1987",1,Artist,,,"Bacon, Peggy",1,Bacon,Peggy,,Peggy Bacon,1974.86.1
195,831,"Bacon, Peggy",Peggy Bacon,"born Ridgefield, CT 1895-died Kennebunk, ME 1987",1,Artist,,,"Bacon, Peggy",1,Bacon,Peggy,,Peggy Bacon,1979.98.12
213,864,"Baker, Thomas S.",Thomas S. Baker,"born Manchester, MA 1907-died Manchester, MA 1986",1,Artist,,,"Baker, Thomas S.",1,Baker,Thomas S.,,Thomas S. Baker,1964.1.202
252,1402,"Barr, Stephen",Stephen Barr,active 1933-1943,1,Artist,,,"Barr, Stephen",1,Barr,Stephen,,Stephen Barr,1974.28.85
18175,56482,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,2000.83.24
18175,56485,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,2000.83.26
5089,25502,"Urry, Steven",Steven Urry,"born Chicago, IL 1939-died Tempe, AZ 1993",1,Artist,,,"Urry, Steven",1,Urry,Steven,,Steven Urry,1984.158.1
18175,56471,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,2000.83.18
18175,38420,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1999.27.85
18175,38534,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1967.59.319V
1081,6085,Currier and Ives,Currier and Ives,1857-1907,1,Artist,,,Currier and Ives,1,,,,Currier and Ives,1966.48.12
6629,6119,Suffolk Engraving Co.,Suffolk Engraving Co.,,3,Printer,,,Suffolk Engraving Co.,1,,,,          ,1988.5.8
28178,4497,Society of Medallic Arts,Society of Medallic Arts,,3,Commissioner,,,Society of Medallic Arts,1,,,,          ,1972.167.21
856,4715,"Chiarenza, Carl",Carl Chiarenza,"born Rochester, NY 1935",1,Artist,,,"Chiarenza, Carl",1,Chiarenza,Carl,,Carl Chiarenza,1988.46
6336,10531,William Pate and Co.,William Pate and Co.,,3,Publisher,,,William Pate and Co.,1,,,,          ,1966.48.66
2242,32402,"Hirsch, Joseph",Joseph Hirsch,"born Philadelphia, PA 1910-died New York City 1981",1,Artist,,,"Hirsch, Joseph",1,Hirsch,Joseph,,Joseph Hirsch,1991.92
995,74337,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.394
995,74339,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.396
945,5156,"Coleman, Glenn O.",Glenn O. Coleman,"born Springfield, OH ca. 1884-died Long Beach, NY 1932",1,Artist,,,"Coleman, Glenn O.",1,Coleman,Glenn O.,,Glenn O. Coleman,1982.94
995,71647,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,2002.58.16
18175,30788,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1956.6.A-9
18175,30889,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.166.2
18175,30915,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.170.46
18175,30936,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.174.27
18175,75601,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1918.5.39
18175,75603,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1918.5.41A-C
18175,75609,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1918.5.47
18175,75651,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1918.5.89
18175,29951,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.235.65
18175,29959,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.245.18
18175,30466,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.245.13
18175,30472,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.245.20
18175,30505,"Unidentified, ",Unidentified,,1,Artist,,,Unidentified,1,Unidentified,,,Unidentified,1929.8.245.54
995,5637,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.64.86
995,5642,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.64.81
995,5679,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1985.64.28
28178,9711,Society of Medallic Arts,Society of Medallic Arts,,3,Commissioner,,,Society of Medallic Arts,1,,,,          ,1972.167.29
1170,6410,"de Diego, Julio",Julio de Diego,"born Madrid, Spain 1900-died Sarasota, FL 1979",1,Artist,,,"de Diego, Julio",1,de Diego,Julio,,Julio de Diego,1935.13.77
1199,6634,"De Maria, Francisco",Francisco De Maria,,1,Artist,,,"De Maria, Francisco",1,De Maria,Francisco,,Francisco De Maria,1929.7.177R
995,5744,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1978.95.8
995,74114,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.171
995,74121,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.178
995,74171,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.228
995,74202,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.259
995,74211,"Cornell, Joseph",Joseph Cornell,"born Nyack, NY 1903-died New York City 1972",1,Artist,,,"Cornell, Joseph",1,Cornell,Joseph,,Joseph Cornell,1991.155.268
