ObjectID,ComponentID,ComponentNumber,HomeLocationID,CurLocationID,CurSite,CurRoom,CurUnitType,CurUnitNumber,CurUnitPosition,CurLevel,CurContainer,TempFlag,TempText,TempTicklerDate,TransCodeID,TransDate,Handler,PrevLocationID,PrevSite,PrevRoom,PrevUnitType,PrevUnitNumber,PrevUnitPostion,PrevLevel,PrevContainer,Description
1500,1500,1975.19.7,13946,13946,GA,D-42,,,,0,,0,inv.,1900-01-01 00:00:00,3,1999-05-26 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
1746,1746,1969.190,-1,6752,ML,,,,,0,,1,ML2024:Hereford Post Office,1900-01-01 00:00:00,1,1981-12-11 00:00:00,O H,5780,HISTORICAL LOCATION,,,,,,,
1949,1949,1967.14.18,15414,15414,GA,G-101,,,,0,,0,inv:Reed Anderson,intern,1900-01-01 00:00:00,3,1997-11-25 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
2053,2053,1975.20.3,15923,15923,GA,III,127,,,0,,0,19th c. prints,1900-01-01 00:00:00,3,1998-12-22 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
3319,3319,1983.83.228,13946,13946,GA,D-42,,,,0,,0,inv.,1900-01-01 00:00:00,3,1999-05-26 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
3336,3336,1983.83.217,13946,13946,GA,D-42,,,,0,,0,inv.,1900-01-01 00:00:00,3,1999-05-26 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
3778,3778,1984.124.45,13852,13852,GA,CONTAINER,II, 3,,,0,,0,inv:K.Kertsos,intern,1900-01-01 00:00:00,3,1999-06-30 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
4163,4163,1985.66.386,592EE,-1,15883,GA,II,4,,,,,1,,,1,1991-06-10 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
4251,4251,1985.66.386,593BB,-1,15879,GA,II,2,,,,,1,,,1,1991-06-10 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
4306,4306,1985.66.386,591D,-1,15879,GA,II,2,,,,,1,,,1,1991-06-10 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
4349,4349,1985.66.386,595A,-1,15870,GA,II,1,,,,,1,,,1,1991-06-10 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
4360,4360,1985.66.386,590N,-1,15870,GA,II,1,,,,,1,,,1,1991-06-10 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
5955,5955,1983.90.26,6032,6032,GA,OLIN DOWS,II, 3,,,0,,0,inv:Olin Dows; K.Kertsos, intern,1900-01-01 00:00:00,3,1999-07-29 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
6674,6674,1966.36.70,-1,3332,GA,T,III,,,,,1,FORD TIMES,,1,1998-01-22 00:00:00,,5780,HISTORICAL LOCATION,,,,,,,
