"ConstituentID","City","County","State","Country","ConGeoCode"
"2","Gloucester","","Massachusetts","United States","Place of Death"
"2","St. Petersburg","","","Russia","Place of Birth"
"3","Philadelphia","","Pennsylvania","United States","Place of Birth"
"3","London","","","England","Place of Death"
"5","Springfield","","Ohio","United States","Place of Birth"
"5","Monson","","Maine","United States","Place of Death"
"6","New York","","New York","United States","Place of Birth"
"6","Southampton","","New York","United States","Associated Place"
"7","Showhegan","","Maine","United States","Associated Place"
"7","","","New Hampshire","United States","Associated Place"
"7","New York","","New York","United States","Place of Birth"
"8","New York","","New York","United States","Place of Birth"
"9","Austin","","Texas","United States","Place of Birth"
"9","Chicago","","Illinois","United States","Place of Death"
"10","Wayland","","New York","United States","Place of Birth"
"11","Riga","","","Russia","Place of Birth"
"11","East Meadow","","New York","United States","Place of Death"
"12","New York","","New York","United States","Associated Place"
"12","Guatemala City","","","Guatemala","Place of Birth"
"13","Mulhouse","","","France","Place of Birth"
"13","Paris","","","France","Place of Death"
"14","Chicago","","Illinois","United States","Place of Birth"
"15","Charlevoix","","Michigan","United States","Place of Birth"
"15","Washington","","District of Columbia","United States","Place of Death"
"16","Lima","","","Peru","Place of Birth"
"16","New York","","New York","United States","Place of Death"
"17","Washington","","District of Columbia","United States","Associated Place"
"17","Honolulu","","Hawaii","United States","Associated Place"
"18","New York","","New York","United States","Associated Place"
"18","Utuado","","","Puerto Rico","Place of Birth"
"20","Carmel","","California","United States","Associated Place"
"20","San Francisco","","California","United States","Place of Birth"
"20","Monterey","","California","United States","Place of Death"
"21","Webster City","","Iowa","United States","Place of Birth"
"22","Albuquerque","","New Mexico","United States","Associated Place"
"22","Glendale","","California","United States","Place of Birth"
"23","Paris","","","France","Associated Place"
"23","Concord","","Vermont","United States","Place of Birth"
"23","New York","","New York","United States","Place of Death"
"24","Taos","","New Mexico","United States","Associated Place"
"24","Topeka","","Kansas","United States","Place of Birth"
"24","Albuquerque","","New Mexico","United States","Place of Death"
"25","","Perry County","Kentucky","United States","Associated Place"
"26","","Akwesasne Indian Territory","New York","United States","Associated Place"
"26","Kawehnoke","St. Regis Reservation","Ontario","Canada","Place of Birth"
"27","","","Colorado","United States","Associated Place"
"27","Orange","","New Jersey","United States","Place of Birth"
"28","Hazard","","Kentucky","United States","Place of Birth"
"29","Woodbury","","New Jersey","United States","Place of Birth"
"29","New York","","New York","United States","Place of Death"
"31","Luxeuil","","","France","Place of Birth"
"32","New York","","New York","United States","Place of Birth"
"32","New York","","New York","United States","Place of Death"
"33","London","","","England","Associated Place"
"33","","","","England","Place of Birth"
"33","","","","England","Place of Death"
"34","Sparta","","New York","United States","Place of Birth"
"34","Washington","","District of Columbia","United States","Place of Death"
"35","New York","","New York","United States","Place of Birth"
"35","New York","","New York","United States","Place of Death"
"36","New York","","New York","United States","Place of Birth"
"37","Paris","","","France","Place of Birth"
"37","Chamonix","","","France","Place of Death"
"38","Quincy","","Illinois","United States","Place of Birth"
"38","Tryon","","North Carolina","United States","Place of Death"
"39","","","","France","Associated Place"
"39","Chicago","","Illinois","United States","Associated Place"
"40","San Francisco","","California","United States","Place of Birth"
"40","New York","","New York","United States","Place of Death"
"41","Bethel","","Connecticut","United States","Associated Place"
"41","Altoona","","Pennsylvania","United States","Place of Birth"
"41","Bethel","","Pennsylvania","United States","Place of Death"
"43","Newburyport","","Massachusetts","United States","Associated Place"
"43","Philadelphia","","Pennsylvania","United States","Place of Death"
"44","Scituate","","Rhode Island","United States","Place of Birth"
"45","Black Mountain","","North Carolina","United States","Associated Place"
"45","Berlin","","","Germany","Place of Birth"
"45","Orange","","Connecticut","United States","Place of Death"
"46","Black Mountain","","North Carolina","United States","Associated Place"
"46","Bottrop","","","Germany","Place of Birth"
"46","New Haven","","Connecticut","United States","Place of Death"
"47","Tampico","","","Mexico","Associated Place"
"47","Mexico City","","","Mexico","Associated Place"
"47","Pinoso","","","Spain","Place of Birth"
"49","Schloss Rosenau","","","Germany","Place of Birth"
"49","Windsor","","","England","Place of Death"
"50","Minneapolis","","Minnesota","United States","Place of Birth"
"50","","","","Mexico","Place of Death"
"51","","","Rhode Island","United States","Associated Place"
"51","Orby","","","Sweden","Place of Birth"
"52","North Harvey","","Illinois","United States","Place of Birth"
"52","Woodstock","","Vermont","United States","Place of Death"
"53","Paris","","","France","Associated Place"
"53","London","","","England","Associated Place"
"53","Dresden","","","Germany","Place of Birth"
"53","New York","","New York","United States","Place of Death"
"55","Paris","","","France","Associated Place"
"55","Allegheny","","Pennsylvania","United States","Place of Birth"
"55","New York","","New York","United States","Place of Death"
"57","Glendale","","California","United States","Place of Birth"
