objectnumber,HeightCM,HeightIN,WidthCM,WidthIN,DepthCM,DepthIN,DiamCM,DiamIN,LenCM,LenIN,Label,Element,ObjID,WeightCM,WeightIN,Method,Description,ISN,ObjectID
1962.8.76,58.1025,22.875,40.64,16,0,0,0,0,0,0,,sheet,2,0,0,,,2,35
1986.62,78.74,31,70.8025,27.875,0,0,0,0,0,0,,sheet,3,0,0,,,3,50
1970.264.1,33.655,13.25,40.005,15.75,0,0,0,0,0,0,,sheet,4,0,0,,,4,64
1970.264.1,45.72,18,55.88,22,0,0,0,0,0,0,,mount,5,0,0,,,5,64
1988.16,111.76,44,76.2,30,0,0,0,0,0,0,,image,6,0,0,,,6,65
1987.24,28.575,11.25,37.465,14.75,0,0,0,0,0,0,,sheet,7,0,0,,,7,68
1977.74.9,26.035,10.25,34.29,13.5,0,0,0,0,0,0,,image,8,0,0,,,8,72
1977.74.6,9.68375,3.8125,12.065,4.75,0,0,0,0,0,0,,image,9,0,0,,,9,73
1977.74.8,16.66875,6.5625,11.43,4.5,0,0,0,0,0,0,,image,10,0,0,,,10,74
1977.74.2,19.20875,7.5625,23.65375,9.3125,0,0,0,0,0,0,,image,11,0,0,,,11,75
1977.74.5,23.8125,9.375,14.9225,5.875,0,0,0,0,0,0,,image,12,0,0,,,12,76
1977.74.3,23.97125,9.4375,19.05,7.5,0,0,0,0,0,0,,image,13,0,0,,,13,78
1977.74.7,19.05,7.5,24.13,9.5,0,0,0,0,0,0,,sheet,14,0,0,,,14,79
1977.74.1,22.225,8.75,15.08125,5.9375,0,0,0,0,0,0,,image,15,0,0,,,15,80
1977.74.4,23.97125,9.4375,19.05,7.5,0,0,0,0,0,0,,image,16,0,0,,,16,81
1976.103.15,40.64,16,30.1625,11.875,0,0,0,0,0,0,,sheet,17,0,0,,,17,91
1988.18.1,50.8,20,63.5,25,0,0,0,0,0,0,,sheet,18,0,0,,,18,173
1988.18.2,50.8,20,63.5,25,0,0,0,0,0,0,,sheet,19,0,0,,,19,174
1988.18.3,50.8,20,63.5,25,0,0,0,0,0,0,,image,20,0,0,,,20,175
1988.18.4,50.8,20,63.5,25,0,0,0,0,0,0,,sheet,21,0,0,,,21,176
1988.18.5,50.8,20,63.5,25,0,0,0,0,0,0,,image,22,0,0,,,22,177
1988.18.6,50.8,20,63.5,25,0,0,0,0,0,0,,image,23,0,0,,,23,178
1988.18.7,50.8,20,63.5,25,0,0,0,0,0,0,,image,24,0,0,,,24,179
1988.18.8,50.8,20,63.5,25,0,0,0,0,0,0,,image,25,0,0,,,25,180
1971.18,43.18,17,43.18,17,0,0,0,0,0,0,,sheet,26,0,0,,,26,206
1987.52.1,21.2725,8.375,16.51,6.5,0,0,0,0,0,0,,image,27,0,0,,,27,220
1985.79.2,39.84625,15.6875,26.51125,10.4375,0,0,0,0,0,0,,sheet,28,0,0,,,28,224
1909.7.1,134.62,53,88.9,35,0,0,0,0,0,0,,frame,29,0,0,,,29,225
1986.57.1,55.88,22,45.56125,17.9375,0,0,0,0,0,0,,mount,30,0,0,,,30,228
1950.4.18,11.7475,4.625,10.795,4.25,2.2225,0.875,0,0,0,0,,frame,31,0,0,,,31,376
