"ConstituentID","FirstName","LastName","NameType","NameTitle","Suffix"
"401","F. Alexandre","Bida","Variant Name","",""
"403","Robert D. H.","Bidner","Variant Name","",""
"404","Eugene Vitalis","Biel-Bienne","Variant Name","",""
"404","Eugene","Biel-Bienne","Variant Name","",""
"406","Otto F.","Bielefeld","Variant Name","",""
"411","Katherine Fullerton","Biery","Married Name","Mrs.",""
"413","Daniel Anthony","Biferie, Jr.","Birth or Maiden Name","",""
"413","Dan","Biferie, Jr.","Variant Name","",""
"414","John Thomas","Biggers","Variant Name","",""
"417","Friederich Wilhelm","Billing","Variant Name","",""
"417","F. W.","Billing","Variant Name","",""
"419","Louis Françis De Paul","Binse","Variant Name","",""
"419","Louis","Binsse","Variant Name","",""
"419","Louis Francis De Paul","Binsse","Variant Name","",""
"419","Louis","Binsse de St. Victor","Variant Name","",""
"419","Louis Francois","Binsse de St. Victor","Variant Name","",""
"419","Louis","Binsse de Saint Victor","Variant Name","",""
"420","William Russell","Birch","Birth or Maiden Name","",""
"420","William R.","Birch","Variant Name","",""
"421","Oswald","Birley","Variant Name","",""
"421","Oswald Hornby Joseph","Birley","Variant Name","Capt. Sir",""
"421","Oswald","Birley","Variant Name","Capt. Sir",""
"422","August Robert","Birmelin","Birth or Maiden Name","",""
"422","A. Robert","Birmelin","Variant Name","",""
"424","Elmer Nelson","Bischoff","Variant Name","",""
"426","Emily C.","Bishop","Variant Name","",""
"427","I. B.","Wolff","Married Name","Mrs.",""
"427","Harold G.","Wolff","Married Name","Mrs.",""
"429","Richard","Bishop","Variant Name","",""
"429","Richard Evett","Bishop","Birth or Maiden Name","",""
"429","R. E.","Bishop","Variant Name","",""
"430","George E.","Bissell","Variant Name","",""
"431","Emil James","Bisttram","Birth or Maiden Name","",""
"431","Emil J.","Bisttram","Variant Name","",""
"432","Karl Theodore Francis","Bitter","Variant Name","",""
"432","Karl Theodore","Bitter","Variant Name","",""
"432","Karl T. F.","Bitter","Variant Name","",""
"432","Karl T.","Bitter","Variant Name","",""
"433","Arnold I.","Bittleman","Variant Name","",""
"433","Arnold Irwin","Bittleman","Birth or Maiden Name","",""
"435","Laverne Nelson","Black","Variant Name","",""
"436","Morris Atkinson","Blackburn","Birth or Maiden Name","",""
"436","M. Atkinson","Blackburn","Variant Name","",""
"436","","Blackie","Variant Name","",""
"438","Charles Ronald Wells","Bladen","Birth or Maiden Name","",""
"439","Mary","Blair","Variant Name","",""
"440","Robert Noel","Blair","Birth or Maiden Name","",""
"441","Ralph","Blakelock","Variant Name","",""
"441","Ralph A.","Blakelock","Variant Name","",""
"443","Lucille","Blanch","Married Name","",""
"443","Lucile Lunquist","Blanch","Married Name","",""
"443","Lucile","Lundquist-Blanch","Married Name","",""
"443","Lucille","Lundquist-Blanch","Married Name","",""
"453","Julius Thiengen","Block","Birth or Maiden Name","",""
"453","Julius T.","Block","Variant Name","",""
"454","Edmund Walton","Blodgett","Birth or Maiden Name","",""
"454","Edmund","Blodgett","Variant Name","",""
"455","Adolphe","Blondheim","Variant Name","",""
"455","Adolphe Wiener","Blondheim","Variant Name","",""
"458","John Vincent","Bloom","Variant Name","",""
"458","John","Bloom, Jr.","Variant Name","",""
"459","Warren Edward","Johnson","Birth or Maiden Name","",""
"462","Jerome S.","Blum","Variant Name","",""
"463","Robert","Blum","Variant Name","",""
"465","Ernest Leonard","Blumenschein","Birth or Maiden Name","",""
"465","Ernest","Blumenschein","Variant Name","",""
"470","David G.","Blythe","Variant Name","",""
"471","R. C.","Boardman","Variant Name","",""
"472","Lowell","Bobleter","Variant Name","",""
"473","Peter Charlie","Bochero","Variant Name","",""
"473","Peter Charlie","Besharo","Variant Name","",""
"473","Peter Attie","Besharo","Birth or Maiden Name","",""
"473","Peter","Besharo","Variant Name","",""
"477","James","Bogardus","Married Name","Mrs.",""
"477","Margaret","Bogardus","Married Name","",""
"477","Margaret","Maclay","Birth or Maiden Name","",""
"478","Paul Josef","Bogatay","Birth or Maiden Name","",""
"479","George Hirst","Bogert","Variant Name","",""
"479","George Henry","Bogert","Variant Name","",""
"482","","Rev. Mac","Variant Name","",""
"483","Walter Erwin","Bohl","Birth or Maiden Name","",""
"483","Walter","Bohl","Variant Name","",""
"492","Carmen","Bonanno","Variant Name","",""
"498","Léon Joseph Florentin","Bonnat","Birth or Maiden Name","",""
"499","Wilburn Otto","Bonnell III","Birth or Maiden Name","",""
"499","Bill","Bonnell","Variant Name","",""
"499","Wilburn","Bonnell","Variant Name","",""
"505","John Edward","Borein","Variant Name","",""
"505","Ed","Borein","Variant Name","",""
"506","Naomi","Messinger","Birth or Maiden Name","",""
"507","Carl O.","Borg","Variant Name","",""
"508","John Gutzon de la Mothe","Borglum","Birth or Maiden Name","",""
"508","John Gutzon","Borglum","Variant Name","",""
"509","Solon Hannibal","Borglum","Birth or Maiden Name","",""
"509","Solon","Borglum","Variant Name","",""
"510","Harry Manfred","Borgman","Birth or Maiden Name","",""
"518","Jan Dirksz","Both","Variant Name","",""
"519","Cornelius","Botke","Variant Name","",""
"522","Louis Henri","Bouchard","Variant Name","",""
"522","Henri","Bouchard","Variant Name","",""
"524","Joseph Felix","Bouchor","Variant Name","",""
"527","Henry","Bounetheau","Variant Name","",""
"527","Henry B.","Bounetheau","Variant Name","",""
"528","Gabriel","Bouret","Variant Name","",""
"531","Gertrude B.","Bourne","Married Name","",""
"531","Frank Augustus","Bourne","Married Name","Mrs.",""
"532","Henri","Bowden","Variant Name","",""
"533","J. T.","Bowen","Variant Name","",""
"536","Harold Thomas","Bowler","Birth or Maiden Name","",""
"536","Harold T.","Bowler","Variant Name","",""
"539","Frank Davis","Boyden","Birth or Maiden Name","",""
"540","Ralph","Boyer","Variant Name","",""
"540","Ralph L.","Boyer","Variant Name","",""
"542","Helene Olga","Boznanska","Variant Name","",""
"542","Olga","De Boznanska","Variant Name","",""
"544","Francis S.","Bradford","Variant Name","",""
"546","David Paul","Bradley","Birth or Maiden Name","",""
"547","William H.","Bradley","Variant Name","",""
"547","William Henry","Bradley","Birth or Maiden Name","",""
"547","Will","Bradley","Variant Name","",""
"547","W. H.","Bradley","Variant Name","",""
"548","G.","Bradshaw","Variant Name","",""
"548","G. A.","Bradshaw","Variant Name","",""
"551","Karl","Brandner","Variant Name","",""
"552","Rexford Elson","Brandt","Birth or Maiden Name","",""
"552","Rexford","Brandt","Variant Name","",""
"554","James L.","Bray, Jr.","Birth or Maiden Name","",""
"555","Wendell Phillips","Brazeau","Birth or Maiden Name","",""
"557","Charles Henry","Breed","Birth or Maiden Name","",""
"557","Charles","Breed","Variant Name","",""
"558","Robert C.","Breer","Variant Name","",""
"558","Bob","Breer","Variant Name","",""
"565","Marie Louise Catherine","Breslau","Variant Name","",""
"565","Louise Catherine","Breslau","Variant Name","",""
"566","Marcel Lajos","Breuer","Birth or Maiden Name","",""
"568","Nicholas Richard","Brewer","Birth or Maiden Name","",""
"569","Alfred T.","Bricher","Variant Name","",""
"569","Albert T.","Bricher","Variant Name","",""
"570","W. J.","Brickey","Variant Name","",""
"570","William","Brickey","Variant Name","",""
"570","William J.","Brickey","Variant Name","",""
"571","Don","Briddell","Variant Name","",""
"573","Frank A.","Bridge","Married Name","Mrs.",""
"575","F. A.","Bridgman","Variant Name","",""
"575","Frederic Arthur","Bridgman","Variant Name","",""
"575","Frederic A.","Bridgman","Variant Name","",""
"575","Frederick A.","Bridgman","Variant Name","",""
"577","Nicholas P.","Brigante","Variant Name","",""
"577","Nicholas","Brigante","Variant Name","",""
"578","Franklin Dulin","Briscoe","Variant Name","",""
"578","Franklin Dullin","Briscoe","Variant Name","",""
"580","Clark Veazie","Britton","Birth or Maiden Name","",""
"580","Clark V.","Britton, Jr.","Variant Name","",""
"582","William","McNulty","Married Name","Mrs.",""
"582","William C.","McNulty","Married Name","Mrs.",""
"583","Frederika","Shermer","Variant Name","",""
"584","Morris Gaylord","Broderson","Birth or Maiden Name","",""
"585","Robert M.","Broderson","Variant Name","",""
"588","Dennis Rexford","Brokaw","Birth or Maiden Name","",""
"589","Karen","Broker","Variant Name","",""
"592","Richard N.","Brooke","Variant Name","",""
"593","Robert","Brooks","Variant Name","",""
"595","James David","Brooks","Birth or Maiden Name","",""
"595","James D.","Brooks","Variant Name","",""
"598","Mona A.","Brooks","Variant Name","",""
"599","Beatrice Romaine","Brooks","Married Name","",""
"599","Romaine","Goddard","Birth or Maiden Name","",""
"602","Richard Burrell","Brough","Birth or Maiden Name","",""
"604","Benjamin Chambers","Brown","Birth or Maiden Name","",""
"605","Bolton Coit","Brown","Birth or Maiden Name","",""
"606","Donnell Adair","Brown","Variant Name","",""
"607","Douglass Edwin","Brown","Birth or Maiden Name","",""
"608","Ethel I.","Brown","Variant Name","",""
"609",""Claude"","Brown","Variant Name","",""
"611","Howard Willis","Brown","Variant Name","",""
"612","Howell Chambers","Brown","Birth or Maiden Name","",""
"614","J. G.","Brown","Variant Name","",""
"615","J. Henry","Brown","Variant Name","",""
"616","Delford","Brown","Variant Name","",""
"616","Bob Delford","Brown","Variant Name","",""
