"ConstituentID","FirstName","LastName","NameType","NameTitle","Suffix"
"2","George Manuel","Aarons","Birth or Maiden Name","",""
"2","George M.","Aarons","Variant Name","",""
"3","E. A.","Abbey","Variant Name","",""
"6","Mary Lee","Abbott","Variant Name","",""
"7","Sigmund M.","Abeles","Variant Name","",""
"7","Sigmund Morton","Abeles","Birth or Maiden Name","",""
"12","Rodolfo Marco","Abularach","Birth or Maiden Name","",""
"13","Maurice Victor","Achener","Variant Name","",""
"14","Keith Anden","Achepohl","Birth or Maiden Name","",""
"15","Alice Stanley","Acheson","Married Name","",""
"15","Alice","Stanley","Birth or Maiden Name","",""
"15","Dean","Acheson","Married Name","Mrs.",""
"15","Alice S.","Acheson","Married Name","",""
"17","William B.","Adair","Variant Name","",""
"18","Adal","Maldonado","Variant Name","",""
"18","Adal Alberto","Maldonado","Variant Name","",""
"19","Julius","Adam, the Younger","Variant Name","",""
"20","Ansel Easton","Adams","Variant Name","",""
"21","Bert","Adams","Variant Name","",""
"21","Bertrand","Adams","Variant Name","",""
"23","Herbert Samuel","Adams","Birth or Maiden Name","",""
"24","Kenneth Miller","Adams","Birth or Maiden Name","",""
"24","Kenneth","Adams","Variant Name","",""
"27","Robert Hickman","Adams","Birth or Maiden Name","",""
"28","Shelby","Adams","Variant Name","",""
"29","Clifford Isaac","Addams","Variant Name","",""
"32","Samuel Marcus","Adler","Birth or Maiden Name","",""
"32","Samuel M.","Adler","Variant Name","",""
"34","Alfred Thomas","Agate","Birth or Maiden Name","",""
"34","Alfred","Agate","Variant Name","",""
"37","Marcel","Sembat","Married Name","Mme.",""
"38","George","Aid","Variant Name","",""
"38","George C.","Aid","Variant Name","",""
"39","Jessie Aitchison","Walker","Variant Name","",""
"39","Jessie A.","Walker","Married Name","Mrs.",""
"39","J. A.","Walker","Variant Name","",""
"40","Robert Ingersoll","Aitken","Birth or Maiden Name","",""
"40","Robert I.","Aitken","Variant Name","",""
"41","Ibrahim Mahfoud","Ajay","Birth or Maiden Name","",""
"43","James","Akin","Married Name","Mrs.",""
"43","","Akin","Married Name","Mrs.",""
"43","James","Aitken","Married Name","Mrs.",""
"43","","Aitken","Married Name","Mrs.",""
"44","Grace Thurston Arnold","Albee","Variant Name","",""
"44","Grace Arnold","Albee","Variant Name","",""
"45","Annelise","Fleischmann","Birth or Maiden Name","",""
"46","Joseph","Albers","Variant Name","",""
"49","","Albert Francis Charles Augustus Emmanuel","Variant Name","Prince",""
"49","","Albert, Prince Consort of Victoria, Queen of Great Britain","Variant Name","",""
"50","Ernest Dewey","Albinson","Birth or Maiden Name","",""
"50","Dewey","Albinson","Variant Name","",""
"51","Al","Albrektson","Variant Name","",""
"51","Evald J.","Albrektson","Variant Name","",""
"52","Ivan Le Lorraine","Albright","Birth or Maiden Name","",""
"53","Alfred L.","Copley","Birth or Maiden Name","",""
"53","L.","Alcopley","Variant Name","",""
"53","Lewin","Alcopley","Variant Name","",""
"53","Alfred Lewin","Copley","Birth or Maiden Name","",""
"55","John W.","Alexander","Variant Name","",""
"57","James Gilbert","Alinder","Birth or Maiden Name","",""
"57","James","Alinder","Variant Name","",""
"59","Christine Hilkka","Rinne","Variant Name","",""
"60","Frederick W.","Allen","Variant Name","",""
"60","Frederic Warren","Allen","Variant Name","",""
"61","James B.","Allen","Variant Name","",""
"61","James Baylie","Allen","Variant Name","",""
"62","James","Allen","Variant Name","",""
"64","James Junius","Allen","Birth or Maiden Name","",""
"66","Walter H.","Allner","Variant Name","",""
"66","Walter Heinz","Allner","Birth or Maiden Name","",""
"66","Heinz","Allner","Variant Name","",""
"67","Patricia Allott","Silbert","Married Name","",""
"68","Jan van","Almeloven","Variant Name","",""
"70","Arturo","Pacheco Altamirano","Variant Name","",""
"77","Edmond","Aman-Jean","Variant Name","",""
"77","Edmund","Aman-Jean","Variant Name","",""
"78","Alvin Eli","Amason","Birth or Maiden Name","",""
"79","Edmond Romulus","Amateis","Birth or Maiden Name","",""
"79","Edmond R.","Amateis","Variant Name","",""
"79","Edmund R.","Amateis","Variant Name","",""
"83","Arthur Forbes","Ames","Birth or Maiden Name","",""
"88","Emma Amos","Levine","Variant Name","",""
"90","Mary Andersen","Clark","Variant Name","",""
"90","Mary","Anderson","Variant Name","",""
"90","Mary Anderson","Clark","Variant Name","",""
"91","Alexander","Anderson","Variant Name","Dr.",""
"93","Carlos","Andreson","Variant Name","",""
"93","Carlos J.","Anderson","Variant Name","",""
"94","Guy Irving","Anderson","Variant Name","",""
"95","Jeremy Radcliffe","Anderson","Birth or Maiden Name","",""
"95","Jeremy R.","Anderson","Variant Name","",""
"98","Alfred Charles Stanley","Anderson","Birth or Maiden Name","",""
"99","Walter Inglis","Anderson","Birth or Maiden Name","",""
"101","Eliphalet F.","Andrews","Variant Name","",""
"102","Robert","Andrews","Variant Name","",""
"102","J. Robert","Andrews","Variant Name","Dr.",""
"105","Vera Eugenia","Andrus","Variant Name","",""
"106","Milton","Douthat","Variant Name","Mrs.",""
"108","Boris Israelevich","Anisfeld","Variant Name","",""
"108","Boris","Anisfeld","Variant Name","",""
"108","Boris Izrailevic","Anisfel'd","Variant Name","",""
"109","Thomas Pollock","Anshutz","Birth or Maiden Name","",""
"109","Thomas P.","Anshutz","Variant Name","",""
"110","William Graham","Anthony","Birth or Maiden Name","",""
"111","Stephanos","Antonakos","Birth or Maiden Name","",""
"113","Garo Zareh","Antreasian","Birth or Maiden Name","",""
"113","Garo Z.","Antreasian","Variant Name","",""
"114","Richard Joseph","Anuszkiewicz","Birth or Maiden Name","",""
"116","Christian Karel","Appel","Birth or Maiden Name","",""
"117","Austin","Mecklem","Married Name","Mrs.",""
"117","M. A.","Mecklem","Married Name","Mrs.",""
"117","Marianne","Mecklem","Married Name","",""
"118","Jacques Barthelemy","Appian","Variant Name","",""
"119","Ralph Frederick","Appleman","Birth or Maiden Name","",""
"122","Shusaku","Arakawa","Variant Name","",""
"124","Diane","Nemerov","Birth or Maiden Name","",""
"125","A. Margaretta","Archambault","Variant Name","",""
"128","Aleksandr Porfirevic","Archipenko","Variant Name","",""
"129","Felipe Benito","Archuleta","Variant Name","",""
"129","Felipe B.","Archuleta","Variant Name","",""
"129","Filipe B.","Archuleta","Variant Name","",""
"136","S. G.","Armstrong","Married Name","Mrs.",""
"138","J. C.","Armytage","Variant Name","",""
"140","Robert Carston","Arneson","Variant Name","",""
"140","Robert C.","Arneson","Variant Name","",""
"141","Bernard Patrick","Arnest","Birth or Maiden Name","",""
"142","Carl Wilhelm Edward","Arning","Birth or Maiden Name","",""
"143","Arnold Grant","Arnold","Birth or Maiden Name","",""
"143","A. Grant","Arnold","Variant Name","",""
"144","Sallie McAllister Curb","Arnold","Married Name","",""
"144","Sallie","Curb","Birth or Maiden Name","",""
"147","Irene Hilde","Aronson","Married Name","",""
"147","Irene H.","Aronson","Married Name","",""
"147","Irene","Anderson","Birth or Maiden Name","",""
"150","","Lallo","Variant Name","",""
"150","","Little Boy","Variant Name","",""
"151","Carlo","Assenzi","Variant Name","",""
"151","Carlo","Ascensi","Variant Name","",""
"152","Mary Goldman","Ascher","Married Name","",""
"152","David","Ascher","Married Name","Mrs.",""
"152","Mary G.","Ascher","Variant Name","",""
"153","Jonathan Grant","Meader","Birth or Maiden Name","",""
"153","Jonathan","Meader","Variant Name","",""
"155","Lila","Asher","Variant Name","",""
"156","Ruth","Aspden","Variant Name","",""
"156","","Rutter","Married Name","Mrs.",""
"157","Joseph A.","Atchison","Variant Name","",""
"158","John Carlton","Atherton","Birth or Maiden Name","",""
"158","John C.","Atherton","Variant Name","",""
"160","Gerardo","Murillo","Variant Name","",""
"160","Jose Gerardo Francisco Murillo","Cornado","Variant Name","",""
"162","Louis","Aubineau","Variant Name","",""
"162","Lewis","Obeno","Variant Name","",""
"163","J. Francis","Auburtin","Variant Name","",""
"163","Francis","Auburtin","Variant Name","",""
"163","Jean Francois","Auburtin","Variant Name","",""
"165","Philipp","Audinet","Variant Name","",""
"165","Philippe","Audinet","Variant Name","",""
"165","Phillip","Audinet","Variant Name","",""
"166","Benoit","Audran, the Elder","Variant Name","",""
"166","Benoit","Audran","Variant Name","",""
"167","Joannes","Audran","Variant Name","",""
"168","Jean","Rabine","Birth or Maiden Name","",""
"169","Levy William","Auerbach","Variant Name","",""
"169","William","Auerbach","Variant Name","",""
"170","Parfait","Augrand","Variant Name","",""
"171","George Copeland","Ault","Birth or Maiden Name","",""
"171","George C.","Ault","Variant Name","",""
"172","A. Rudy","Autio","Variant Name","",""
"173","","White Arrow","Variant Name","",""
"176","Milton Clark","Avery","Birth or Maiden Name","",""
"177","Andrey","Avinoff","Variant Name","Dr.",""
"177","Andrew N.","Avinoff","Variant Name","",""
"179","Joseph Marius","Avy","Variant Name","",""
"180","Alfonso","Roybal","Variant Name","",""
"180","","Cattail Bird","Variant Name","",""
"181","Rodolfo E.","Ayoroa","Variant Name","",""
"181","Rudy","Aroyoa","Variant Name","",""
"181","Rudy","Ayora","Variant Name","",""
"184","Larry","Babis","Variant Name","",""
"185","Martha Moffett","Bache","Married Name","Mrs.",""
"185","Martha","Bache","Married Name","",""
"185","Martha","Moffett","Birth or Maiden Name","",""
"186","William","Bache, Sr.","Variant Name","",""
"187","Otto Henry","Bacher","Birth or Maiden Name","",""
"187","Otto","Bacher","Variant Name","",""
"189","Max Albin","Bachofen","Birth or Maiden Name","",""
"190","Ludwick","Backhmysen","Variant Name","",""
"190","Ludolf","Backhmysen","Variant Name","",""
"190","Ludolf","Bakhuyzen","Variant Name","",""
"190","Ludolf","Backhuizen","Variant Name","",""
"190","Ludolf","Backhuijzen","Variant Name","",""
"190","Ludolf","Bakhuizen","Variant Name","",""
"195","Margaret Frances","Bacon","Variant Name","",""
"195","Alexander","Brook","Married Name","Mrs.",""
"198","William J.","Baer","Variant Name","",""
"198","W. J.","Baer","Variant Name","",""
"200","William Spencer","Bagdatopolous","Variant Name","",""
"200","W. S.","Bagdatopoulos","Variant Name","",""
"200","William Spencer","Bagdatopoulos","Variant Name","",""
"201","Joseph-Claude","Bail","Birth or Maiden Name","",""
"202","Carroll","Bailey","Variant Name","",""
"205","Joseph A.","Bailly","Variant Name","",""
"205","Joseph Alexander","Bailly","Variant Name","",""
"206","Saul L.","Baizerman","Variant Name","",""
"207","Percy Bryant","Baker","Birth or Maiden Name","",""
"208","David Curtis","Baker","Birth or Maiden Name","",""
"208","David","Baker","Variant Name","",""
"210","Martha S.","Baker","Variant Name","",""
"212","S. B.","Baker","Variant Name","",""
"212","Samuel B.","Baker","Variant Name","",""
"212","S. Burtis","Baker","Variant Name","",""
"212","Burtis","Baker","Variant Name","",""
"212","Samuel","Baker","Variant Name","",""
"215","C. LeRoy","Baldridge","Variant Name","",""
"215","Cyrus L.","Baldridge","Variant Name","",""
"215","Cyrus Leroy","Baldridge","Variant Name","",""
"215","Cyrus Le Roy","Baldridge","Variant Name","",""
"220","Grace May","Terwilliger","Birth or Maiden Name","",""
"220","Grace May","Ballentine","Married Name","",""
"220","Grace","Ballentine","Married Name","Mrs.",""
"224","James","Bama","Variant Name","",""
"224","James Elliott","Bama","Birth or Maiden Name","",""
"225","Darby","Bannard","Variant Name","",""
"225","W. Darby","Bannard","Variant Name","",""
"226","Edward M.","Bannister","Variant Name","",""
"226","E. M.","Bannister","Variant Name","",""
"228","William R.","Barbee","Variant Name","",""
"231","Arthur Joseph","Barbour","Birth or Maiden Name","",""
"232","James Edward","Barclay","Birth or Maiden Name","",""
"232","Edward","Barclay","Variant Name","",""
"235","Patrocinio","Barela","Variant Name","",""
"237","Albert Winslow","Barker","Variant Name","",""
"237","Albert W.","Barker","Variant Name","Dr.",""
"238","Thomas","Barker of Bath","Variant Name","",""
"239","Louis","Breslow","Birth or Maiden Name","",""
"239","Lou","Breslow","Variant Name","",""
"240","George Gray","Barnard","Birth or Maiden Name","",""
"240","George G.","Barnard","Variant Name","",""
"241","G. N.","Barnard","Variant Name","",""
"241","George","Barnard","Variant Name","",""
"243","Elizabeth","Barnes","Variant Name","",""
"246","Herbert P.","Barnett","Variant Name","",""
"246","Herbert Phillip","Barnett","Variant Name","",""
"247","Alice Pike","Barney","Married Name","Mrs.",""
"247","Alice","Barney","Married Name","",""
"247","Alice","Pike","Birth or Maiden Name","",""
"248","Laura Alice","Barney","Birth or Maiden Name","",""
"248","Laura","Dreyfus-Barney","Married Name","",""
"248","Laura","Barney","Variant Name","",""
"254","Jean Auguste","Barre","Variant Name","",""
"255","Thomas","Barrett","Variant Name","",""
"255","Thomas Weeks","Barrett, Jr.","Birth or Maiden Name","",""
"257","Grace Allison","Barron","Variant Name","",""
"258","Ricardo","Barros","Variant Name","",""
"259","Chuck","Barrows","Variant Name","",""
"260","Charles","Barry","Variant Name","",""
"261","William Gerard","Barry","Birth or Maiden Name","",""
"261","Gerrard","Barry","Variant Name","",""
"262","George R.","Barse","Variant Name","",""
"262","George Randall","Barse, Jr.","Variant Name","",""
"263","Frederic-Auguste","Bartholdi","Variant Name","",""
"263","Auguste","Bartholdi","Variant Name","",""
"265","Jennifer Losch","Bartlett","Variant Name","",""
"266","Paul W.","Bartlett","Variant Name","",""
"267","William H.","Bartlett","Variant Name","",""
"268","Perez R.","Babcock","Married Name","Mrs.",""
"268","Russell","Miller","Married Name","Mrs.",""
"268","Loren Roberta","Barton","Variant Name","",""
"268","Loren R.","Barton","Variant Name","",""
"268","Loren Roberta","Babcock","Married Name","",""
"268","Loren Roberta Barton","Miller","Married Name","",""
"270","Franz","Barwig, the Elder","Variant Name","",""
"271","Antoine Louis","Barye","Variant Name","",""
"271","Antoine","Barye","Variant Name","",""
"273","Victor","Basinet","Variant Name","",""
"273","Hugh","Basinet","Variant Name","",""
"274","Charles","Baskerville, Jr.","Variant Name","",""
"280","Marilyn Ruth","Baum","Variant Name","",""
"283","Warren William","Baumgartner","Birth or Maiden Name","",""
"283","Warren","Baumgartner","Variant Name","",""
"286","William A.","Baziotes","Variant Name","",""
"290","Mary","Cradock","Birth or Maiden Name","",""
"290","Mary Cradock","Beale","Married Name","",""
"291","Lester Thomas","Beall","Birth or Maiden Name","",""
"292","Richard A.","Beale","Variant Name","",""
"295","William H.","Beard","Variant Name","",""
"295","W. H.","Beard","Variant Name","",""
"296","Romare H.","Bearden","Variant Name","",""
"296","Romare Howard","Bearden","Birth or Maiden Name","",""
"298","John Wesley","Beatty","Birth or Maiden Name","",""
"301","Robert Alan","Bechtle","Birth or Maiden Name","",""
"303","Jackson Wolfgang","Beck","Variant Name","",""
"303","Jack","Beck","Variant Name","",""
"304","Rosemarie Beck","Phelps","Variant Name","",""
"305","Otto Walter","Beck","Variant Name","",""
"305","Otto W.","Beck","Variant Name","",""
"307","Fred G.","Becker","Variant Name","",""
"307","Fred Gerhard","Becker","Birth or Maiden Name","",""
"312","J. Carroll","Beckwith","Variant Name","",""
"312","James Carroll","Beckwith","Birth or Maiden Name","",""
"317","Thomas Montague","Beggs","Variant Name","",""
"318","Gwendolyn Richardson","Beitzell","Married Name","",""
"318","Gwendolyn","Beitzell","Married Name","Mrs.",""
"319","David Ben Menachem","Bekker","Birth or Maiden Name","",""
"322","Zedikiah","Belknap","Variant Name","",""
"323","Bela","Janowsky","Married Name","Mrs.",""
"325","E. B.","Palanchian","Married Name","Mrs.",""
"325","Enid Bell","Palanchian","Married Name","Mrs.",""
"325","Missak","Palanchian","married name","Mrs.",""
"326","Larry Stuart","Bell","Birth or Maiden Name","",""
"329","George Wesley","Bellows","Birth or Maiden Name","",""
"329","George W.","Bellows","Variant Name","",""
"330","I. J.","Belmont","Variant Name","",""
"333","Wilhelm von","Bemmel","Variant Name","",""
"333","William von","Bemmel","Variant Name","",""
"333","Willem van","Bemmel","Variant Name","",""
"336","Al","Bendiner","Variant Name","",""
"337","Barton","Benes","Variant Name","",""
"339","Rosalind","Browne","married name","",""
"339","Rosalind Bengelsdorf","Browne","Married Name","",""
"342","Paul A.","Benjamin","Variant Name","",""
"347","John L.","Bennett","Variant Name","",""
"349","W. J.","Bennett","Variant Name","",""
"349","William J.","Bennett","Variant Name","",""
"350","George F.","Bensell","Variant Name","",""
"350","George","Bensell","Variant Name","",""
"352","Frank Weston","Benson","Birth or Maiden Name","",""
"352","Frank","Benson","Variant Name","",""
"353","S. Patricia McMahon","Benson","Variant Name","",""
"353","S. Patricia","Benson","Variant Name","",""
"354","Richard Mead Atwater","Benson","Birth or Maiden Name","",""
"354","Richard M. A.","Benson","Variant Name","",""
"357","John William","Bentley","Birth or Maiden Name","",""
"358","Tom","Benton","Variant Name","",""
"358","Thomas H.","Benton","Variant Name","",""
"360","Benzion","Weinman","Birth or Maiden Name","",""
"362","Paul Frederick","Berdanier","Birth or Maiden Name","",""
"362","Paul F.","Berdanier, Sr.","Variant Name","",""
"362","Paul","Berdanier","Variant Name","",""
"363","Veronica","Berdich","Variant Name","",""
"363","Veronika","Berdich","Birth or Maiden Name","",""
"363","Vera","Berdich","Variant Name","Dr.",""
"365","Charlotte","Corinth","Married Name","",""
"365","Charlotte","Berend","Birth or Maiden Name","",""
"365","Lovis","Corinth","Married Name","Mrs.",""
"365","","Corinth","Married Name","Mrs.",""
"369","Bernece","Berkman-Hunter","married name","",""
"372","Sarah","Ostrowsky","Birth or Maiden Name","",""
"372","Sarah Ostrowsky","Berman","Married Name","",""
"375","Jose Ygnacio","Bermudez","Birth or Maiden Name","",""
"376","Joseph Antoine","Bernard","Variant Name","",""
"377","Oscar E.","Berninghaus","Variant Name","",""
"377","Oscar","Berninghaus","Variant Name","",""
"380","Theresa Bernstein","Meyerowitz","Married Name","",""
"380","William","Meyerowitz","Married Name","Mrs.",""
"380","Theresa F.","Bernstein","Birth or Maiden Name","",""
"381","William Joseph","Bernstein","Birth or Maiden Name","",""
"382","Leon","BeRoth","Variant Name","",""
"383","Jennifer","Berringer","Variant Name","",""
"383","Jennifer Marie","Berringer","Variant Name","",""
"384","Clifford Kennedy","Berryman","Birth or Maiden Name","",""
"384","Cliff","Berryman","Variant Name","",""
"384","Clifford","Berryman","Variant Name","",""
"386","Charles-Clement Balvay","Bervic","Variant Name","",""
"388","Paul Albert","Besnard","Variant Name","",""
"388","Paul-Albert","Besnard","Variant Name","",""
"390","Jolan","Gross-Bettelheim","Variant Name","",""
"390","Gross","Bettelheim","Variant Name","",""
"391","Beulah Ruth","Bettersworth","Married Name","",""
"391","Beulah","Ruth","Birth or Maiden Name","",""
"396","Janice","Biala","Pseudonym","",""
"396","Janice","Tworkovsky","Birth or Maiden Name","",""
"399","Frank","Bicknell","Variant Name","",""
"399","Frank A.","Bicknell","Variant Name","",""
"400","W. H. W.","Bicknell","Variant Name","",""
"400","William Henry Warren","Bicknell","Variant Name","",""
