"ObjectID","ObjectNumber","ObjRightsType","RenditionNumber","Rank","PrimaryDisplay","MediaType","FileName"
"16473","1915.11.58                                ","Unrestricted (Public Domain)","1","10","1","Slide",""
"16725","1988.15.6                                 ","Undetermined*","1","10","1","Slide",""
"17727","1984.121.4                                ","Unrestricted*","1","10","1","Slide",""
"18205","1980.31                                   ","Undetermined*","1","10","1","Negative",""
"18917","1983.39.1                                 ","Unrestricted*","1","10","1","Slide",""
"18926","1983.39.11                                ","Unrestricted*","1","10","1","Slide",""
"19275","1915.11.63                                ","Unrestricted (Public Domain)","1","10","1","Negative",""
"19782","1929.6.83                                 ","Unrestricted (Public Domain)","1","10","1","Negative",""
"19988","1989.45                                   ","Undetermined*","1","10","1","Negative",""
"20629","1985.19                                   ","Restricted (See File)","1","10","1","Color Transparency",""
"20950","1986.91.4                                 ","Undetermined*","1","10","1","Slide",""
"20953","1986.91.9                                 ","Undetermined*","1","10","1","Slide",""
"20958","1986.91.6                                 ","Undetermined*","1","10","1","Slide",""
"20961","1986.91.5                                 ","Undetermined*","1","10","1","Slide",""
"20964","1986.91.8                                 ","Undetermined*","1","10","1","Slide",""
"21700","1970.80                                   ","Unrestricted (Public Domain)","1","10","1","Negative",""
"21725","1967.6.20                                 ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"22404","1986.14                                   ","Restricted (Nonexclusive License)","1","10","1","Color Transparency",""
"22816","1987.5.5                                  ","Undetermined*","1","10","1","Slide",""
"22994","1985.65.36                                ","Unrestricted (Public Domain)","2","10","1","Slide",""
"23056","1985.66.384,190                           ","Unrestricted (Public Domain)","1","10","1","Negative",""
"23950","1929.6.162                                ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"24190","1918.5.17                                 ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"24230","1915.11.78                                ","Unrestricted (Public Domain)","1","10","1","Black and White Print",""
"24373","1984.10.13                                ","Restricted (Nonexclusive License)","1","10","1","Negative",""
"24379","1984.10.3                                 ","Undetermined*","1","10","1","Slide",""
"24393","1984.124.293                              ","Unrestricted*","1","10","1","Slide",""
"24565","1929.6.148                                ","Unrestricted (Public Domain)","1","10","1","Color Transparency",""
"24748","1988.15.19                                ","Undetermined*","1","10","1","Slide",""
