ObjectStatus,ObjectID,objectnumber,Classification,SubClassification,Title,Medium,dated,datebegin,dateend,Creditline,Dimensions,CreditLineRepro
Accessioned Object,25,1983.16.3,Photography,Photoprint,"Sutton Place, Anne Morgan's Townhouse on Corner, Northeast Corner of East 57th Street, Manhattan",gelatin silver print,1936,1936,1936,Gift of George McNeil,sheet: 8 x 10 in. (20.3 x 25.4 cm.); image...,
Accessioned Object,35,1962.8.76,Graphic Arts,Print,Machine + El" Patterns",color lithograph on paper,1935-1943,1935,1943,"Transfer from the Internal Revenue Service through the General Services Administration
",image: 17 7/8 x 12 3/4 in. (45.5 x 32.4 cm) irregular,
Accessioned Object,60,1975.111.3,Graphic Arts,Print,"(States of Mind, series) States of Mind III",color lithograph on paper,1975,1975,1975,"Gift of Dr. Christopher A. Graf and Janet Graf, his wife",image and sheet: 22 x 18 in. (55.9 x 45.7 cm),
Accessioned Object,99,1989.30.1A-E,Decorative Arts,,Wedding Cake Basket,woven sweetgrass and ash splint,1986,1986,1986,"Gift of Herbert Waide Hemphill, Jr.",25 1/2 x 15 3/4 in. (64.8 x 40.0 cm) diam.,
Accessioned Object,175,1988.18.3,Graphic Arts,Print,Embossed Linear Construction 1-C,embossing on paper,1969,1969,1969,Transfer from the National Endowment for the Arts,sheet and image: 20 x 25 in. (50.8 x 63.5 cm),
Accessioned Object,12,1975.83.6,Photography,Photoprint,"Fulton Street Dock, Manhattan Skyline",gelatin silver print,1935,1935,1935,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 3/4 x 22 3/4 in. (45.1 x 57.6 cm.),
Accessioned Object,17,1975.83.14,Photography,Photoprint,Manhattan Bridge,gelatin silver print,1936,1936,1936,"Transfer from the Evander Childs High School, Bronx, New York through the General Services Administration",sheet: 17 7/8 x 14 1/8 in. (45.3 x 35.9 cm.),
Accessioned Object,30,1973.176.1,Graphic Arts,Print,Saddle/Soap,lithograph on paper,1972,1972,1972,Gift of Dr. Frederick P. Nause and Rebecca Nause,sheet: 29 5/8 x 22 1/8 in. (75.3 x 56.3 cm),
Accessioned Object,115,1915.11.1,Drawing,,Figure of an Old Man,crayon on paper,1914,1914,1914,Gift of the Republic of France,sight 16 1/8 x 11 1/2 in. (41.0 x 29.2 cm),
