"ConstituentID","ObjectID","Maker","DisplayName","DisplayDate","DisplayOrder","Role","Prefix","Suffix","AlphaSort","Displayed","LastName","FirstName","NameTitle","allartists"
"18175","30788","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30794","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30834","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30889","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30915","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30936","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","75601","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","75603","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","75609","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","75651","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"19265","49795","Clark, James","JAMES O. CLARK (NEA)","born 1948","1","Artist","","","Clark, James","1","Clark","James","","JAMES O. CLARK (NEA)"
"18175","29951","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","29959","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30100","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30353","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30431","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30466","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30472","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","30505","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"995","5637","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","5642","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","5679","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"28178","9711","Society of Medallic Arts","Society of Medallic Arts","","3","Commissioner","","","Society of Medallic Arts","1","","","","          "
"1170","6410","de Diego, Julio","Julio de Diego","born Madrid, Spain 1900-died Sarasota, FL 1979","1","Artist","","","de Diego, Julio","1","de Diego","Julio","","Julio de Diego"
"1199","6634","De Maria, Francisco","Francisco De Maria","","1","Artist","","","De Maria, Francisco","1","De Maria","Francisco","","Francisco De Maria"
"995","5744","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74114","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74121","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74171","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74202","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74211","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74213","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74218","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74263","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74278","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74285","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"18175","56576","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","56672","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"29943","81232","Demaine, Erik","Erik Demaine","born Halifax, Nova Scotia 1981","1","Artist","","","Demaine, Erik","1","Demaine","Erik","","Erik Demaine"
"18175","81250","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","81263","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","81285","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"7165","35399","Stewart-Keller, Jody","Jody Stewart-Keller","born Norfolk, PA 1954","1","Artist","","","Stewart-Keller, Jody","1","Stewart-Keller","Jody","","Jody Stewart-Keller"
"18175","31011","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","31060","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","31063","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","31083","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","31089","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","77007","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","77014","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","77126","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","82315","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","82326","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","82717","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","29463","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","29491","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","29518","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","25127","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","25132","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","25145","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"995","75117","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"18175","75124","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"995","75334","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","75336","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"18175","76821","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","76826","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
