"ConstituentID","ObjectID","Maker","DisplayName","DisplayDate","DisplayOrder","Role","Prefix","Suffix","AlphaSort","Displayed","LastName","FirstName","NameTitle","allartists"
"195","824","Bacon, Peggy","Peggy Bacon","born Ridgefield, CT 1895-died Kennebunk, ME 1987","1","Artist","","","Bacon, Peggy","1","Bacon","Peggy","","Peggy Bacon"
"195","831","Bacon, Peggy","Peggy Bacon","born Ridgefield, CT 1895-died Kennebunk, ME 1987","1","Artist","","","Bacon, Peggy","1","Bacon","Peggy","","Peggy Bacon"
"213","864","Baker, Thomas S.","Thomas S. Baker","born Manchester, MA 1907-died Manchester, MA 1986","1","Artist","","","Baker, Thomas S.","1","Baker","Thomas S.","","Thomas S. Baker"
"252","1402","Barr, Stephen","Stephen Barr","active 1933-1943","1","Artist","","","Barr, Stephen","1","Barr","Stephen","","Stephen Barr"
"18175","56482","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","56485","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"24170","63876","Tobin, Farley","FARLEY TOBIN (NEA)","born 1951","1","Artist","","","Tobin, Farley","1","Tobin","Farley","","FARLEY TOBIN (NEA)"
"24259","64465","Viner, Frank","FRANK VINER (NEA)","born 1937","1","Artist","","","Viner, Frank","1","Viner","Frank","","FRANK VINER (NEA)"
"5089","25502","Urry, Steven","Steven Urry","born Chicago, IL 1939-died Tempe, AZ 1993","1","Artist","","","Urry, Steven","1","Urry","Steven","","Steven Urry"
"18175","56471","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","38420","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","38534","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"1063","6025","Culver, Charles","Charles Culver","born Chicago, Heights, IL 1908-died Bellaire, MI 1967","1","Artist","","","Culver, Charles","1","Culver","Charles","","Charles Culver"
"1063","6030","Culver, Charles","Charles Culver","born Chicago, Heights, IL 1908-died Bellaire, MI 1967","1","Artist","","","Culver, Charles","1","Culver","Charles","","Charles Culver"
"1063","6032","Culver, Charles","Charles Culver","born Chicago, Heights, IL 1908-died Bellaire, MI 1967","1","Artist","","","Culver, Charles","1","Culver","Charles","","Charles Culver"
"1081","6085","Currier and Ives","Currier and Ives","1857-1907","1","Artist","","","Currier and Ives","1","","","","Currier and Ives"
"6629","6119","Suffolk Engraving Co.","Suffolk Engraving Co.","","3","Printer","","","Suffolk Engraving Co.","1","","","","          "
"28178","4497","Society of Medallic Arts","Society of Medallic Arts","","3","Commissioner","","","Society of Medallic Arts","1","","","","          "
"856","4715","Chiarenza, Carl","Carl Chiarenza","born Rochester, NY 1935","1","Artist","","","Chiarenza, Carl","1","Chiarenza","Carl","","Carl Chiarenza"
"6336","10531","William Pate and Co.","William Pate and Co.","","3","Publisher","","","William Pate and Co.","1","","","","          "
"24745","48123","Hom, Mei-Ling","MEI-LING HOM (NEA)","born 1951","1","Artist","","","Hom, Mei-Ling","1","Hom","Mei-Ling","","MEI-LING HOM (NEA)"
"24745","48130","Hom, Mei-Ling","MEI-LING HOM (NEA)","born 1951","1","Artist","","","Hom, Mei-Ling","1","Hom","Mei-Ling","","MEI-LING HOM (NEA)"
"2242","32402","Hirsch, Joseph","Joseph Hirsch","born Philadelphia, PA 1910-died New York City 1981","1","Artist","","","Hirsch, Joseph","1","Hirsch","Joseph","","Joseph Hirsch"
"995","74337","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"995","74339","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"20465","53263","MacNeil, Wendy","W. SNYDER MACNEIL (NEA)","born 1943","1","Artist","","","MacNeil, Wendy","1","MacNeil","Wendy","","W. SNYDER MACNEIL (NEA)"
"18175","74932","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","74945","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"18175","74952","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
"24327","65089","Weir, John","JOHN SPENCE WEIR (NEA)","born 1930","1","Artist","","","Weir, John","1","Weir","John","","JOHN SPENCE WEIR (NEA)"
"25856","65262","Westergard, Gina","GINA WESTERGARD (NEA)","born 1962","1","Artist","","","Westergard, Gina","1","Westergard","Gina","","GINA WESTERGARD (NEA)"
"945","5156","Coleman, Glenn O.","Glenn O. Coleman","born Springfield, OH ca. 1884-died Long Beach, NY 1932","1","Artist","","","Coleman, Glenn O.","1","Coleman","Glenn O.","","Glenn O. Coleman"
"995","71647","Cornell, Joseph","Joseph Cornell","born Nyack, NY 1903-died New York City 1972","1","Artist","","","Cornell, Joseph","1","Cornell","Joseph","","Joseph Cornell"
"18175","30779","Unidentified, ","Unidentified","","1","Artist","","","Unidentified","1","Unidentified","","","Unidentified"
