termID,PathTerm,ThesXrefType
2027536,Authorities\Attributes\Objects\Support\PAPER,Tools and Equipment
2027537,Authorities\Attributes\Objects\Mark Type\not dated,Mark Type
2027537,Authorities\Attributes\Objects\Mark Type\not dated,Subject Specific
2027538,Authorities\Attributes\Objects\Mark Type\number,Mark Type
2027539,Authorities\Attributes\Objects\Mark Type\variant mark,Mark Type
2027540,Authorities\Attributes\Objects\Medium\INK,Medium
2027543,Authorities\Attributes\Objects\Subject Specific\State of being\emotion\love,Subject Specific
2027544,Authorities\Attributes\Objects\Support\PAPERBOARD,Support
2027545,Authorities\Attributes\Objects\Mark Type\title,Mark Type
2027545,Authorities\Attributes\Objects\Mark Type\title,Tools and Equipment
2027546,Authorities\Attributes\Objects\Medium\CRAYON,Medium
2027547,Authorities\Attributes\Objects\Medium\CRAYON\PASTEL,Medium
2027548,Authorities\Attributes\Objects\Subject Specific\Figure female,Subject Specific
2027549,Authorities\Attributes\Objects\Subject Specific\State of being\mood,Subject Specific
2027550,Authorities\Attributes\Objects\Subject Specific\State of being\mood\meditation,Subject Specific
2027551,Authorities\Attributes\Objects\Subject Specific\Dress\royal,Subject Specific
2027552,Authorities\Attributes\Objects\Subject Specific\Performing arts,Subject Specific
2027555,Authorities\Attributes\Objects\Mark Type\copyright,Mark Type
2027556,Authorities\Attributes\Objects\Medium\PAINT\OIL,Medium
2027557,Authorities\Attributes\Objects\Support\FABRIC,Support
2027558,Authorities\Attributes\Objects\Support\FABRIC\CANVAS,Support
2027559,Authorities\Attributes\Objects\Medium\CHARCOAL,Medium
2027560,Authorities\Attributes\Objects\Process\GELATIN SILVER,Process
2027561,Authorities\Attributes\Objects\Subject General\Landscape,Subject General
2027562,Authorities\Attributes\Objects\Subject Specific\Cityscape,Subject Specific
2027563,Authorities\Attributes\Objects\Subject Specific\Cityscape\New York,Subject Specific
2027564,Authorities\Attributes\Objects\Subject Specific\Cityscape\New York\Brooklyn,Subject Specific
2027565,Authorities\Attributes\Objects\Subject Specific\Cityscape\New York\New York,Subject Specific
2027566,Authorities\Attributes\Objects\Subject Specific\Architecture,Subject Specific
2027567,Authorities\Attributes\Objects\Subject Specific\Architecture\bridge,Subject Specific
2027568,Authorities\Attributes\Objects\Subject Specific\Architecture\bridge\Brooklyn Bridge,Subject Specific
2027569,Authorities\Attributes\Objects\Subject Specific\Cityscape\street,Subject Specific
2027570,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Dock Street,Subject Specific
2027571,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Water Street,Subject Specific
2027572,Authorities\Attributes\Objects\Subject Specific\Architecture\industry,Subject Specific
2027575,Authorities\Attributes\Objects\Subject Specific\Monument,Subject Specific
2027576,Authorities\Attributes\Objects\Subject Specific\Monument\fountain,Subject Specific
2027577,Authorities\Attributes\Objects\Subject Specific\Monument\statue,Subject Specific
2027578,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\5th Avenue,Subject Specific
2027579,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\58th Street,Subject Specific
2027580,Authorities\Attributes\Objects\Subject Specific\Cityscape\river,Subject Specific
2027581,Authorities\Attributes\Objects\Subject Specific\Cityscape\river\East River,Subject Specific
2027582,Authorities\Attributes\Objects\Subject Specific\Architecture\commercial,Subject Specific
2027583,Authorities\Attributes\Objects\Subject Specific\Architecture\commercial\skyscraper,Subject Specific
2027584,Authorities\Attributes\Objects\Subject Specific\Architecture\commercial\Daily News Building,Subject Specific
2027585,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\42nd Street,Subject Specific
2027586,Authorities\Attributes\Objects\Subject Specific\Figure(s) in exterior,Subject Specific
2027587,Authorities\Attributes\Objects\Subject Specific\Figure(s) in exterior\urban,Subject Specific
2027588,Authorities\Attributes\Objects\Subject Specific\Architecture\vehicle,Subject Specific
2027589,Authorities\Attributes\Objects\Subject Specific\Architecture\vehicle\automobile,Subject Specific
2027590,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Wall Street,Subject Specific
2027591,Authorities\Attributes\Objects\Subject Specific\Architecture\vehicle\airplane,Subject Specific
2027592,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Bowery,Subject Specific
2027593,Authorities\Attributes\Objects\Subject Specific\Architecture\commercial\store,Subject Specific
2027594,Authorities\Attributes\Objects\Subject Specific\Architecture\bridge\3rd Avenue El,Subject Specific
2027595,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Division Street,Subject Specific
2027596,Authorities\Attributes\Objects\Mark Type\unsigned,Mark Type
2027597,Authorities\Attributes\Objects\Subject Specific\Cityscape\wharf,Subject Specific
2027598,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Fulton Street,Subject Specific
2027599,Authorities\Attributes\Objects\Subject General\Architecture,Subject General
2027600,Authorities\Attributes\Objects\Subject Specific\Architecture\bridge\George Washington Bridge,Subject Specific
2027601,Authorities\Attributes\Objects\Subject Specific\Architecture\vehicle\bus,Subject Specific
2027602,Authorities\Attributes\Objects\Subject Specific\Architecture\civic,Subject Specific
2027605,Authorities\Attributes\Objects\Subject Specific\Architecture\domestic,Subject Specific
2027605,Authorities\Attributes\Objects\Subject Specific\Architecture\domestic,Tools and Equipment
2027606,Authorities\Attributes\Objects\Subject Specific\Architecture\domestic\row house,Subject Specific
2027607,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\MacDougal Alley,Subject Specific
2027608,Authorities\Attributes\Objects\Subject Specific\Architecture\bridge\Manhattan Bridge,Subject Specific
2027609,Authorities\Attributes\Objects\Subject Specific\Figure group\male,Subject Specific
2027609,Authorities\Attributes\Objects\Subject Specific\Figure group\male,Tools and Equipment
2027610,Authorities\Attributes\Objects\Mark Type\address,Mark Type
2027611,Authorities\Attributes\Objects\Subject General\Exterior,Subject General
2027612,Authorities\Attributes\Objects\Subject Specific\Waterscape,Subject Specific
2027613,Authorities\Attributes\Objects\Subject Specific\Waterscape\boat,Subject Specific
2027615,Authorities\Attributes\Objects\Subject Specific\Figure(s) in exterior\water,Subject Specific
2027616,Authorities\Attributes\Objects\Subject Specific\Architecture\boat,Subject Specific
2027617,Authorities\Attributes\Objects\Subject Specific\Architecture\boat\Normandie,Subject Specific
2027619,Authorities\Attributes\Objects\Subject Specific\Waterscape\river,Subject Specific
2027620,Authorities\Attributes\Objects\Subject Specific\Waterscape\river\North River,Subject Specific
2027621,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Pine Street,Subject Specific
2027623,Authorities\Attributes\Objects\Mark Type\label,Mark Type
2027623,Authorities\Attributes\Objects\Mark Type\label,Subject Specific
2027624,Authorities\Attributes\Objects\Subject Specific\Architecture\religious,Subject Specific
2027625,Authorities\Attributes\Objects\Subject Specific\Architecture\religious\church,Subject Specific
2027627,Authorities\Attributes\Objects\Subject Specific\Occupation\industry,Subject Specific
2027628,Authorities\Attributes\Objects\Subject Specific\Occupation\industry\construction,Subject Specific
2027631,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Madison Avenue,Subject Specific
2027633,Authorities\Attributes\Objects\Subject Specific\Miscellaneous\series,Subject Specific
2027635,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\7th Avenue,Subject Specific
2027636,Authorities\Attributes\Objects\Subject Specific\Cityscape\bird's eye view,Subject Specific
2027637,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\35th Street,Subject Specific
2027638,Authorities\Attributes\Objects\Subject Specific\Architecture\commercial\hotel,Subject Specific
2027639,Authorities\Attributes\Objects\Subject Specific\Architecture\commercial\General Electric Building,Subject Specific
2027640,Authorities\Attributes\Objects\Subject Specific\Architecture\religious\St. Bartholomew's Church,Subject Specific
2027641,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\10th Street,Subject Specific
2027642,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\2nd Avenue,Subject Specific
2027643,Authorities\Attributes\Objects\Subject Specific\Architecture\religious\St. Mark's Church,Subject Specific
2027644,Authorities\Attributes\Objects\Subject Specific\Miscellaneous\art allusion,Subject Specific
2027645,Authorities\Attributes\Objects\Subject Specific\Miscellaneous\art allusion\mural,Subject Specific
2027646,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Sutton Place,Subject Specific
2027647,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\East 57th Street,Subject Specific
2027648,Authorities\Attributes\Objects\Subject Specific\Architecture\domestic\Morgan,Subject Specific
2027649,Authorities\Attributes\Objects\Subject Specific\Architecture\boat\Theoline,Subject Specific
2027650,Authorities\Attributes\Objects\Subject Specific\Architecture\boat\sailing ship,Subject Specific
2027651,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Debrosses Street,Subject Specific
2027652,Authorities\Attributes\Objects\Subject Specific\Architecture\vehicle\truck,Subject Specific
2027653,Authorities\Attributes\Objects\Subject Specific\Occupation\transportation,Subject Specific
2027654,Authorities\Attributes\Objects\Subject Specific\Occupation\transportation\truck driver,Subject Specific
2027655,Authorities\Attributes\Objects\Subject Specific\Cityscape\street\Washington Street,Subject Specific
2027656,Authorities\Attributes\Objects\Subject Specific\Architecture\domestic\apartment,Subject Specific
2027657,Authorities\Attributes\Objects\Subject Specific\Occupation\domestic,Subject Specific
2027658,Authorities\Attributes\Objects\Subject Specific\Occupation\domestic\laundry,Subject Specific
2027659,Authorities\Attributes\Objects\Subject General\Still life,Subject General
2027660,Authorities\Attributes\Objects\Subject Specific\Literature,Subject Specific
2027663,Authorities\Attributes\Objects\Subject Specific\Literature\Guest\Honey or Wine?,Subject Specific
2027665,Authorities\Attributes\Objects\Subject Specific\Still life\other\vase,Subject Specific
2027666,Authorities\Attributes\Objects\Subject Specific\Miscellaneous\written matter,Subject Specific
2027667,Authorities\Attributes\Objects\Mark Type\inscription,Mark Type
2027668,Authorities\Attributes\Objects\Process\LITHOGRAPH,Process
2027669,Authorities\Attributes\Objects\Process\LITHOGRAPH\COLOR,Process
2027670,Authorities\Attributes\Objects\Subject General\Nonrepresentational,Subject General
2027671,Authorities\Attributes\Objects\Subject Specific\Abstract,Subject Specific
2027672,Authorities\Attributes\Objects\Subject Specific\Architecture\machine,Subject Specific
2027673,Authorities\Attributes\Objects\Support\PAPER\WOVE PAPER,Support
2027674,Authorities\Attributes\Objects\Support\PAPER\WOVE PAPER\Rives,Support
2027675,Authorities\Attributes\Objects\Process\ETCHING,Mark Type
2027675,Authorities\Attributes\Objects\Process\ETCHING,Process
2027676,Authorities\Attributes\Objects\Subject Specific\Landscape,Subject Specific
2027677,Authorities\Attributes\Objects\Subject Specific\Landscape\Spain,Subject Specific
2027678,Authorities\Attributes\Objects\Subject Specific\Landscape\Spain\Aledo,Subject Specific
2027679,Authorities\Attributes\Objects\Subject Specific\Landscape\foreign,Subject Specific
2027682,Authorities\Attributes\Objects\Subject Specific\Architecture\industry\slaughterhouse,Subject Specific
2027683,Authorities\Attributes\Objects\Subject Specific\Recreation,Subject Specific
2027684,Authorities\Attributes\Objects\Subject Specific\Recreation\leisure,Subject Specific
2027685,Authorities\Attributes\Objects\Subject Specific\Recreation\leisure\strolling,Subject Specific
2027686,Authorities\Attributes\Objects\Subject Specific\Figure(s) in exterior\rural,Subject Specific
2027687,Authorities\Attributes\Objects\Subject Specific\Animal,Subject Specific
2027688,Authorities\Attributes\Objects\Subject Specific\Animal\cat,Subject Specific
2027689,Authorities\Attributes\Objects\Subject Specific\Landscape\celestial,Subject Specific
2027690,Authorities\Attributes\Objects\Subject Specific\Landscape\celestial\moon,Subject Specific
2027691,Authorities\Attributes\Objects\Subject Specific\Landscape\tree,Subject Specific
2027692,Authorities\Attributes\Objects\Subject Specific\Landscape\road,Subject Specific
2027693,Authorities\Attributes\Objects\Support\FIBERBOARD,Support
2027694,Authorities\Attributes\Objects\Subject General\Interior,Subject General
2027695,Authorities\Attributes\Objects\Subject Specific\Miscellaneous\art allusion\Abercrombie,Subject Specific
2027696,Authorities\Attributes\Objects\Medium\WOOD,Medium
2027697,Authorities\Attributes\Objects\Medium\PLASTER,Medium
2027698,Authorities\Attributes\Objects\Subject Specific\Ceremony,Subject Specific
2027699,Authorities\Attributes\Objects\Subject Specific\Ceremony\wedding,Subject Specific
2027700,Authorities\Attributes\Objects\Subject Specific\Architecture\ruins,Subject Specific
2027702,Authorities\Attributes\Objects\Subject Specific\Figure,Subject Specific
2027703,Authorities\Attributes\Objects\Process\AQUATINT,Process
2027704,Authorities\Attributes\Objects\Mark Type\edition,Mark Type
2027705,Authorities\Attributes\Objects\Medium\PAINT\WATERCOLOR,Medium
2027706,Authorities\Attributes\Objects\Medium\PENCIL,Medium
2027708,Authorities\Attributes\Objects\Process\MEZZOTINT,Process
2027710,Authorities\Attributes\Objects\Subject Specific\Abstract\geometric,Subject Specific
2027711,Authorities\Attributes\Objects\Subject Specific\Architecture\detail,Subject Specific
2027712,Authorities\Attributes\Objects\Subject Specific\Architecture\detail\door,Subject Specific
2027713,Authorities\Attributes\Objects\Subject Specific\Still life\foodstuff,Subject Specific
2027714,Authorities\Attributes\Objects\Subject Specific\Still life\foodstuff\nut,Subject Specific
2027715,Authorities\Attributes\Objects\Subject Specific\Miscellaneous\series\States of Mind Series,Subject Specific
2027716,Authorities\Attributes\Objects\Subject Specific\Architecture\domestic\house,Subject Specific
2027717,Authorities\Attributes\Objects\Subject Specific\Still life\flower,Subject Specific
2027718,Authorities\Attributes\Objects\Subject Specific\Portrait male,Subject Specific
2027720,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Achepohl, Keith Anden\self-portrait",Subject Specific
2027722,Authorities\Attributes\Objects\Subject Specific\Figure\fragment,Subject Specific
2027723,Authorities\Attributes\Objects\Subject Specific\Figure\fragment\hand,Subject Specific
2027724,Authorities\Attributes\Objects\Process\MONOTYPE,Process
2027725,Authorities\Attributes\Objects\Subject Specific\Recreation\courting,Subject Specific
2027727,Authorities\Attributes\Objects\Subject Specific\Landscape\time\night,Subject Specific
2027728,"Authorities\Attributes\Objects\Support\PAPER\Arches, black",Support
2027729,Authorities\Attributes\Objects\Subject Specific\Waterscape\wharf,Subject Specific
2027730,Authorities\Attributes\Objects\Medium\CERAMIC,Medium
2027731,Authorities\Attributes\Objects\Medium\CERAMIC\STONEWARE,Medium
2027732,Authorities\Attributes\Objects\Subject General\Animal,Subject General
2027733,Authorities\Attributes\Objects\Subject Specific\Animal\bird,Subject Specific
2027734,Authorities\Attributes\Objects\Mark Type\monogram or symbol,Mark Type
2027734,Authorities\Attributes\Objects\Mark Type\monogram or symbol,Subject Specific
2027735,Authorities\Attributes\Objects\Subject Specific\Still life\furniture,Subject Specific
2027736,Authorities\Attributes\Objects\Subject Specific\Still life\furniture\mirror,Subject Specific
2027737,Authorities\Attributes\Objects\Subject Specific\Landscape\California,Subject Specific
2027737,Authorities\Attributes\Objects\Subject Specific\Landscape\California,Tools and Equipment
2027738,Authorities\Attributes\Objects\Subject Specific\Landscape\California\Bodie,Subject Specific
2027739,Authorities\Attributes\Objects\Subject Specific\Landscape\building,Subject Specific
2027740,Authorities\Attributes\Objects\Subject Specific\Landscape\river,Subject Specific
2027741,Authorities\Attributes\Objects\Subject Specific\Landscape\beach,Subject Specific
2027743,Authorities\Attributes\Objects\Subject Specific\Children,Subject Specific
2027744,Authorities\Attributes\Objects\Subject Specific\Landscape\mountain,Subject Specific
2027745,Authorities\Attributes\Objects\Subject Specific\Landscape\phenomenon,Subject Specific
2027746,Authorities\Attributes\Objects\Subject Specific\Landscape\phenomenon\rock formation,Subject Specific
2027747,Authorities\Attributes\Objects\Subject Specific\Western,Subject Specific
2027748,Authorities\Attributes\Objects\Subject Specific\Landscape\tree\joshua tree,Subject Specific
2027749,Authorities\Attributes\Objects\Subject Specific\Figure female\elderly,Subject Specific
2027751,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Perkins, Dexter",Subject Specific
2027752,Authorities\Attributes\Objects\Subject Specific\Occupation\education,Subject Specific
2027753,Authorities\Attributes\Objects\Subject Specific\Occupation\education\teacher,Subject Specific
2027755,Authorities\Attributes\Objects\Subject Specific\Landscape\river\Rio Grande,Subject Specific
2027756,Authorities\Attributes\Objects\Subject Specific\Landscape\park,Subject Specific
2027757,Authorities\Attributes\Objects\Subject Specific\Landscape\park\Big Bend National Park,Subject Specific
2027758,Authorities\Attributes\Objects\Subject Specific\Landscape\Texas,Subject Specific
2027759,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Stieglitz, Alfred",Subject Specific
2027761,Authorities\Attributes\Objects\Subject Specific\Figure(s) in interior,Subject Specific
2027762,Authorities\Attributes\Objects\Subject Specific\Figure(s) in interior\domestic,Subject Specific
2027763,Authorities\Attributes\Objects\Subject Specific\Still life\art object,Subject Specific
2027764,Authorities\Attributes\Objects\Subject Specific\Still life\art object\painting,Subject Specific
2027765,Authorities\Attributes\Objects\Subject Specific\Figure male\waist length,Subject Specific
2027766,Authorities\Attributes\Objects\Subject Specific\Landscape\Arkansas,Subject Specific
2027767,Authorities\Attributes\Objects\Subject Specific\Architecture\industry\mill,Subject Specific
2027768,Authorities\Attributes\Objects\Subject Specific\Occupation\industry\lumber,Subject Specific
2027769,Authorities\Attributes\Objects\Subject Specific\Travel,Subject Specific
2027770,Authorities\Attributes\Objects\Subject Specific\Travel\land,Subject Specific
2027772,Authorities\Attributes\Objects\Subject Specific\Animal\mule,Subject Specific
2027773,Authorities\Attributes\Objects\Subject Specific\Figure(s) in exterior\industry,Subject Specific
2027774,Authorities\Attributes\Objects\Subject General\Portrait,Subject General
2027775,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Henry, Joseph",Subject Specific
2027776,"Authorities\Attributes\Objects\Subject Specific\Portrait male\Henry, Joseph\bust",Subject Specific
2027777,Authorities\Attributes\Objects\Subject Specific\Occupation\science,Subject Specific
2027778,Authorities\Attributes\Objects\Subject Specific\Occupation\science\physicist,Subject Specific
2027780,Authorities\Attributes\Objects\Subject Specific\Ethnic\Mexican,Subject Specific
2027781,Authorities\Attributes\Objects\Subject Specific\Figure group\female,Subject Specific
2027782,Authorities\Attributes\Objects\Subject Specific\Occupation\farm,Subject Specific
2027783,Authorities\Attributes\Objects\Subject Specific\Occupation\farm\harvesting,Subject Specific
