Role
Artist
Printer
Commissioner
Publisher
Manufacturer
Photographer
Papermaker
Author
Designer
Fabricator
Distributor
Founder
Typographer
Workshop
Assistant
Art Director
Retailer
Inventor
Lithographer
Engraver
Colorist
Glassblower
Remodeler
Modeler
Caster
Sound
