ConstituentID,AlphaSort,DisplayName,BeginDate,EndDate,DisplayDate,Code,Nationality
534,John T. Bowen and Company,John T. Bowen and Company,1801,2001,n.d.,Candidate,American
863,Childs and Inman,Childs and Inman,1730,1935,active ca. 1830-ca. 1835,Provisional,American
907,Clegg and Guttman,Clegg and Guttman,1888,1989,active 1980s,Provisional,American
1081,Currier and Ives,Currier and Ives,1857,1907,1857-1907,Verified,American
1443,Endicott,Endicott,1795,1895,active 1845-1848,Verified,American
1881,Gorham Manufacturing Company,Gorham Manufacturing Company,1831,2031,founded 1831,Provisional,American
2057,Handex Corporation,Handex Corporation,0,0,n.d.,Candidate,American
2584,E. C. and E. B. Kellogg,E. C. and E. B. Kellogg,1842,1866,Active 1842-1849 and 1855-1866,Verified,American
2585,Kellogg and Bulkeley,Kellogg and Bulkeley,1867,1939,1867-1930s,Verified,American
2708,Kramer Brothers,Kramer Brothers,1890,1990,founded 1890,Verified,American
2748,Kurz and Allison,Kurz and Allison,1880,1903,1880-1903,Verified,American
2866,Leggo Brothers and Company,Leggo Brothers and Company,0,0,n.d.,Candidate,American
3232,McKenney and Hall,McKenney and Hall,1836,1844,1836-1844,Verified,American
3292,Messmore and Damon,Messmore and Damon,0,0,n.d.,Provisional,American
3550,H. F. Nielson and Co.,H. F. Nielson and Co.,1826,1926,n.d.,Provisional,American?
3644,James R. Osgood and Co.,James R. Osgood and Co.,0,0,,Candidate,
3646,F & C Osler,F & C Osler,1807,1976,"founded Birmingham, England 1807-closed 1976",Verified,English
3656,J. Ottmann Lith. Co.,J. Ottmann Lith. Co.,0,0,,Candidate,
3719,Peale Museum,Peale Museum,0,0,,Candidate,American
4256,"Sarony, Major and Knapp","Sarony, Major and Knapp",1806,1917,active 1856-1867,Verified,American
4376,Sevres Porcelain Manufactory,Sevres Porcelain Manufactory,1825,1925,"French, n.d.",Candidate,French
4419,Sherman and Smith,Sherman and Smith,0,0,,Candidate,
4584,Springmeyer Brothers,Springmeyer Brothers,0,0,n.d.,Candidate,American
5083,Union Woodworks,Union Woodworks,1971,2071,founded ca. 1971,Provisional,American
5084,"Universal Restoration, Inc.","Universal Restoration, Inc.",0,0,n.d.,Candidate,American
5274,E. Weber and Co.,E. Weber and Co.,0,0,n.d.,Candidate,American
5451,Wirts and Scholle,Wirts and Scholle,1879,2089,founded 1879,Provisional,American
5485,Worcester Royal Porcelain Company,Worcester Royal Porcelain Company,1751,2051,founded 1751,Verified,English
5581,Tiffany Studios,Tiffany Studios,1902,1938,1902-1938,Verified,American
5609,Liverpool Printed Ware Manufactory,Liverpool Printed Ware Manufactory,1715,1775,"English, 1715-1775",Candidate,English
